numeroClient;vehicle_id;vehicule;Immat;unid_id;telephone;Date COMM
40044;;206 blanche;DC119ZQ;912441316;33642365632;
90006;;912444175;912444175;912444175;33682089979;
30007;;MASTER 1;;912440364;33645448973;
30007;;TRAFIC;;912443475;33688002604;
30016;;CITROEN C8;BA-560-BQ;912443403;33676986044;
30078;;ROBION;BZ 311 ZB;613321233;33671443142;
30078;;PARIS VAN;;613460923;33671479667;
10062;;santa fe;CD 422WW;912440360;33645448841;
10062;;LAGUNA;CV622VZ;912440361;3,36E+12;
10062;;I 40;BW862PQ;912440370;33645448858;
10098;;peugeot 508 ANGE;864 VT;613461475;33676460407;
10098;;607 berline;;613461623;33647621053;
10098;;Latitude;Bf318ZR;912441350;33674568441;
30038;;MERCEDES;CX183GN;912441971;33688379945;
30038;;FIAT NOIR;AC906AJ;912441972;33683287856;
30038;;Att Pose - 912441976;Att Pose - 912441976;912441976;33681185365;
30038;;VW;BB240WP;912441986;33688372493;
30038;;MERCEDES VITO;AM926CH;912441987;33688378188;
30038;;FIAT GRISE ;238 DCE 38;912441991;33684426366;
30038;;TRAFFIC;CM953EM;912441992;33684727205;
20123;;JUMPY;BY038QT;613321511;33631524815;
20123;;C3 COMMERCIAL;AR266CC;912441281;33789590045;
20123;;;;912444076;33689911211;
20123;;LENAIC;AF650MD;912444105;33645718659;
20123;;CLIO COMMERCIAL;BB 795 NA;912444106;33678507044;
40121;;17M ;CF-096-TQ;613321365;33672938171;
40121;;20M Black;CF-961-AL;613460800;33683722019;
30006;;TRAFIC;1833 VS 73;613321569;33789591145;
40126;;614270076;614270076;614270076;33788040143;
40126;;614270090;614270090;614270090;33671772758;
40126;;614270096;614270096;614270096;33671773033;
40045;;trafic;CD-617-TC;912444083;33786079809;
40023;;613321873;613321873;613321873;33689056906;
40023;;912442814;Cs 686 tj;912442814;33643846900;
40023;;912442825;DB 463 pe;912442825;33677093801;
20033;;1;BX-831-HY;912441522;33785602315;
20033;;5;BX-616-TH;912442997;33787061876;
40114;;RIMA;DE 053 NB;912441243;33686245180;
40114;;RIMA 2;BF 413 LK;912441287;33686245493;
40043;;T 5;T 5;613321865;33786290043;
40043;;VITO;VITO;613461611;33679379923;
40043;;220;220;912441105;33684942395;
40043;;0;;912441108;33678447480;
40043;;0;;912441128;33670852283;
40043;;0;;912441154;33645506308;
40043;;174;174;912441317;33788073163;
40043;;Trafic ;Trafic;912442900;33631880153;
40043;;MASTER;MASTER;912443483;33685535135;
40043;;53;53;912443510;33632147491;
40043;;112;112;912444089;33683719345;
40043;;DUCATO;DUCATO;912444183;33687528071;
90003;;trafic 9 places;CS835TE;613461798;33683721445;
90003;;chevrolet spark;CG970TG;912440301;33608490977;
90003;;megane 3;DB-596-MN;912442710;33789591395;
90003;;0;;912444022;33789591497;
40075;;ford john;CR447KG30;912442816;33608217654;
10097;;IVECO BENJI;Sav- 912440437;912440437;33645448297;
10097;;IVECO ED;CD 115 EA;912443378;33672867899;
10097;;FORD TRANSIT;BM 208 GM;912443383;33607221783;
10097;;PEUGEOT BEN;BM 701 LV;912443384;33670148223;
10097;;FORD CONNECT;CP 892 DC;912443408;33677783848;
10097;;PEUGEOT MIKA;912444099;912444099;33677507080;
30102;;SCUDO;912443377;912443377;33647786028;
30102;;912443390;912443390;912443390;33677746344;
30023;;UDAYAN;DA 776 MP;912443336;33766290046;
30023;;Att Pose - 912443337;Att Pose - 912443337;912443337;33607222356;
30023;;NELSON;BT 135 RP;912443342;33608246135;
30023;;JEYAM;AH 803 SZ;912443347;33632089667;
30023;;RAJAN;CV 100 TL;912443351;33786290177;
30023;;FRANCK;Att Pose - 912443352;912443352;33686038495;
30023;;MUHUNTHAN;AZ 776 SY;912443355;33608745988;
30023;;DIEGO;BN 005 JS;912443356;33786290144;
30023;;THARMA;CZ 738 GN;912443360;33685937434;
30023;;SONY;DF - 349 -WT;912443371;33632566256;
30026;;trafic noir;BX-147-ZK;912440354;33640644413;
30026;;kangoo blanc;AS-917-YF;912440389;33640953639;
30026;;KANGOO NOIR 7 PLACE;CN-433-GH;912441531;33631565260;
30026;;PEUGEOT EXPERT BLEU;BE-477-AM;912442944;33683287822;
30026;;TRAFIC 9 PLACES GRIS;3189ZD17;912443389;33670061374;
30026;;C15;BW-845-HP;912443534;33648535719;
40028;;c3 AUTO ECOLE;912442743;912442743;33647628206;
40122;;613321226;613321226;613321226;33688739548;
40122;;613321253;613321253;613321253;33631569017;
40122;;613321284;613321284;613321284;33689273836;
40122;;613321285;613321285;613321285;33686219443;
40122;;613321317;613321317;613321317;33608726952;
40122;;Recreo 928;CY-928-NF;613460806;33688360050;
40122;;613460827;613460827;613460827;33676554550;
40122;;Recreo 063;CY-063-NG;613460835;33785176333;
40122;;Magelys 409;409 YA 26;613460880;33689355924;
40122;;Trafic 338;338 WG 26;614270046;33632280194;
